Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
6075012802,"Census Tract 128.02, San Francisco County, California",ACSSF,ca,140,0,9918,,,,,6,75,,,12802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012802,Census Tract 128.02,,,,2012,26106.05,0.077070241
6075012901,"Census Tract 129.01, San Francisco County, California",ACSSF,ca,140,0,9919,,,,,6,75,,,12901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012901,Census Tract 129.01,,,,2823,40422.92,0.069836617
6075012902,"Census Tract 129.02, San Francisco County, California",ACSSF,ca,140,0,9920,,,,,6,75,,,12902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012902,Census Tract 129.02,,,,3545,26018.49,0.13624928
6075013001,"Census Tract 130.01, San Francisco County, California",ACSSF,ca,140,0,9921,,,,,6,75,,,13001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013001,Census Tract 130.01,,,,1758,25092.58,0.070060556
6075013002,"Census Tract 130.02, San Francisco County, California",ACSSF,ca,140,0,9922,,,,,6,75,,,13002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013002,Census Tract 130.02,,,,2800,39334.41,0.0711845
6075013101,"Census Tract 131.01, San Francisco County, California",ACSSF,ca,140,0,9923,,,,,6,75,,,13101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013101,Census Tract 131.01,,,,4088,61190.6,0.066807645
6075013102,"Census Tract 131.02, San Francisco County, California",ACSSF,ca,140,0,9924,,,,,6,75,,,13102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013102,Census Tract 131.02,,,,2951,32129.33,0.09184753
6075013200,"Census Tract 132, San Francisco County, California",ACSSF,ca,140,0,9925,,,,,6,75,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013200,Census Tract 132,,,,4456,21111.28,0.21107202
6075013300,"Census Tract 133, San Francisco County, California",ACSSF,ca,140,0,9926,,,,,6,75,,,13300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013300,Census Tract 133,,,,4483,19973.88,0.224443125
6075013401,"Census Tract 134.01, San Francisco County, California",ACSSF,ca,140,0,9927,,,,,6,75,,,13401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013401,Census Tract 134.01,,,,1516,22073.43,0.068679855
6075013402,"Census Tract 134.02, San Francisco County, California",ACSSF,ca,140,0,9928,,,,,6,75,,,13402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013402,Census Tract 134.02,,,,2239,32893.45,0.068068269
6075013500,"Census Tract 135, San Francisco County, California",ACSSF,ca,140,0,9929,,,,,6,75,,,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075013500,Census Tract 135,,,,2449,26969.87,0.090805054
6075015100,"Census Tract 151, San Francisco County, California",ACSSF,ca,140,0,9930,,,,,6,75,,,15100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015100,Census Tract 151,,,,2817,42419.07,0.066408802
6075015201,"Census Tract 152.01, San Francisco County, California",ACSSF,ca,140,0,9931,,,,,6,75,,,15201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015201,Census Tract 152.01,,,,1713,47686.94,0.035921788
6075015202,"Census Tract 152.02, San Francisco County, California",ACSSF,ca,140,0,9932,,,,,6,75,,,15202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015202,Census Tract 152.02,,,,2277,31679.38,0.071876395
6075015300,"Census Tract 153, San Francisco County, California",ACSSF,ca,140,0,9933,,,,,6,75,,,15300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015300,Census Tract 153,,,,2206,24445.87,0.090240186
6075015401,"Census Tract 154.01, San Francisco County, California",ACSSF,ca,140,0,9934,,,,,6,75,,,15401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015401,Census Tract 154.01,,,,3349,22108.1,0.151482941
6075015402,"Census Tract 154.02, San Francisco County, California",ACSSF,ca,140,0,9935,,,,,6,75,,,15402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015402,Census Tract 154.02,,,,2643,20923.97,0.126314485
6075015500,"Census Tract 155, San Francisco County, California",ACSSF,ca,140,0,9936,,,,,6,75,,,15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015500,Census Tract 155,,,,3666,30417.93,0.120521022
6075015600,"Census Tract 156, San Francisco County, California",ACSSF,ca,140,0,9937,,,,,6,75,,,15600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015600,Census Tract 156,,,,2923,25756.16,0.113487398
6075015701,"Census Tract 157.01, San Francisco County, California",ACSSF,ca,140,0,9938,,,,,6,75,,,15701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015701,Census Tract 157.01,,,,5327,28790.79,0.185024409
6075015702,"Census Tract 157.02, San Francisco County, California",ACSSF,ca,140,0,9939,,,,,6,75,,,15702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015702,Census Tract 157.02,,,,3435,24888.4,0.138016083
6075015801,"Census Tract 158.01, San Francisco County, California",ACSSF,ca,140,0,9940,,,,,6,75,,,15801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015801,Census Tract 158.01,,,,3406,25648.81,0.132793665
