FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Total,No Health Insurance,With Health Insurance,Public Health Insurance,Private Health Insurance,Percent No Health Insurance,Percent With Health Insurance,Percent Public Health Insurance,Percent Private Health Insurance
06075021700,"Census Tract 217, San Francisco County, California",ACSSF,ca,140,0,9990,6,75,21700,14000US06075021700,Census Tract 217,,4498,91,4407,1192,3758,2.02,97.98,26.5,83.55
06075021800,"Census Tract 218, San Francisco County, California",ACSSF,ca,140,0,9991,6,75,21800,14000US06075021800,Census Tract 218,,4218,117,4101,771,3738,2.77,97.23,18.28,88.62
06075022600,"Census Tract 226, San Francisco County, California",ACSSF,ca,140,0,9992,6,75,22600,14000US06075022600,Census Tract 226,,3570,27,3543,361,3290,0.76,99.24,10.11,92.16
06075022702,"Census Tract 227.02, San Francisco County, California",ACSSF,ca,140,0,9993,6,75,22702,14000US06075022702,Census Tract 227.02,,2218,46,2172,238,1983,2.07,97.93,10.73,89.4
06075022704,"Census Tract 227.04, San Francisco County, California",ACSSF,ca,140,0,9994,6,75,22704,14000US06075022704,Census Tract 227.04,,3565,87,3478,552,3248,2.44,97.56,15.48,91.11
06075022801,"Census Tract 228.01, San Francisco County, California",ACSSF,ca,140,0,9995,6,75,22801,14000US06075022801,Census Tract 228.01,,5057,235,4822,1374,3747,4.65,95.35,27.17,74.1
06075022802,"Census Tract 228.02, San Francisco County, California",ACSSF,ca,140,0,9996,6,75,22802,14000US06075022802,Census Tract 228.02,,2015,24,1991,570,1484,1.19,98.81,28.29,73.65
06075022803,"Census Tract 228.03, San Francisco County, California",ACSSF,ca,140,0,9997,6,75,22803,14000US06075022803,Census Tract 228.03,,4878,488,4390,1181,3463,10,90,24.21,70.99
06075022901,"Census Tract 229.01, San Francisco County, California",ACSSF,ca,140,0,9998,6,75,22901,14000US06075022901,Census Tract 229.01,,4573,616,3957,1416,2670,13.47,86.53,30.96,58.39
06075022902,"Census Tract 229.02, San Francisco County, California",ACSSF,ca,140,0,9999,6,75,22902,14000US06075022902,Census Tract 229.02,,2233,118,2115,727,1665,5.28,94.72,32.56,74.56
06075022903,"Census Tract 229.03, San Francisco County, California",ACSSF,ca,140,0,10000,6,75,22903,14000US06075022903,Census Tract 229.03,,3090,46,3044,826,2447,1.49,98.51,26.73,79.19
06075023001,"Census Tract 230.01, San Francisco County, California",ACSSF,ca,140,0,10001,6,75,23001,14000US06075023001,Census Tract 230.01,,5304,426,4878,1886,3554,8.03,91.97,35.56,67.01
06075023003,"Census Tract 230.03, San Francisco County, California",ACSSF,ca,140,0,10002,6,75,23003,14000US06075023003,Census Tract 230.03,,4179,200,3979,1745,2676,4.79,95.21,41.76,64.03
06075023102,"Census Tract 231.02, San Francisco County, California",ACSSF,ca,140,0,10003,6,75,23102,14000US06075023102,Census Tract 231.02,,3707,144,3563,2198,1698,3.88,96.12,59.29,45.81
06075023103,"Census Tract 231.03, San Francisco County, California",ACSSF,ca,140,0,10004,6,75,23103,14000US06075023103,Census Tract 231.03,,4064,510,3554,2670,1144,12.55,87.45,65.7,28.15
06075023200,"Census Tract 232, San Francisco County, California",ACSSF,ca,140,0,10005,6,75,23200,14000US06075023200,Census Tract 232,,3857,81,3776,1536,2709,2.1,97.9,39.82,70.24
06075023300,"Census Tract 233, San Francisco County, California",ACSSF,ca,140,0,10006,6,75,23300,14000US06075023300,Census Tract 233,,3924,187,3737,1943,2104,4.77,95.23,49.52,53.62
06075023400,"Census Tract 234, San Francisco County, California",ACSSF,ca,140,0,10007,6,75,23400,14000US06075023400,Census Tract 234,,4148,201,3947,1984,2445,4.85,95.15,47.83,58.94
06075025100,"Census Tract 251, San Francisco County, California",ACSSF,ca,140,0,10008,6,75,25100,14000US06075025100,Census Tract 251,,3384,220,3164,858,2635,6.5,93.5,25.35,77.87
