FIPS,Geo_QName,Geo_FILEID,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Median Household Income
06075020300,"Census Tract 203, San Francisco County, California",ACSSF,140,0,9972,06,075,20300,14000US06075020300,Census Tract 203,,181364
06075020401,"Census Tract 204.01, San Francisco County, California",ACSSF,140,0,9973,06,075,20401,14000US06075020401,Census Tract 204.01,,161103
06075020402,"Census Tract 204.02, San Francisco County, California",ACSSF,140,0,9974,06,075,20402,14000US06075020402,Census Tract 204.02,,138456
06075020500,"Census Tract 205, San Francisco County, California",ACSSF,140,0,9975,06,075,20500,14000US06075020500,Census Tract 205,,237344
06075020601,"Census Tract 206.01, San Francisco County, California",ACSSF,140,0,9976,06,075,20601,14000US06075020601,Census Tract 206.01,,147091
06075020602,"Census Tract 206.02, San Francisco County, California",ACSSF,140,0,9977,06,075,20602,14000US06075020602,Census Tract 206.02,,154792
06075020701,"Census Tract 207.01, San Francisco County, California",ACSSF,140,0,9978,06,075,20701,14000US06075020701,Census Tract 207.01,,231892
06075020702,"Census Tract 207.02, San Francisco County, California",ACSSF,140,0,9979,06,075,20702,14000US06075020702,Census Tract 207.02,,128250
06075020801,"Census Tract 208.01, San Francisco County, California",ACSSF,140,0,9980,06,075,20801,14000US06075020801,Census Tract 208.01,,90779
06075020802,"Census Tract 208.02, San Francisco County, California",ACSSF,140,0,9981,06,075,20802,14000US06075020802,Census Tract 208.02,,107674
06075020900,"Census Tract 209, San Francisco County, California",ACSSF,140,0,9982,06,075,20900,14000US06075020900,Census Tract 209,,119405
06075021000,"Census Tract 210, San Francisco County, California",ACSSF,140,0,9983,06,075,21000,14000US06075021000,Census Tract 210,,160341
06075021100,"Census Tract 211, San Francisco County, California",ACSSF,140,0,9984,06,075,21100,14000US06075021100,Census Tract 211,,207344
06075021200,"Census Tract 212, San Francisco County, California",ACSSF,140,0,9985,06,075,21200,14000US06075021200,Census Tract 212,,178333
06075021300,"Census Tract 213, San Francisco County, California",ACSSF,140,0,9986,06,075,21300,14000US06075021300,Census Tract 213,,168944
06075021400,"Census Tract 214, San Francisco County, California",ACSSF,140,0,9987,06,075,21400,14000US06075021400,Census Tract 214,,194167
06075021500,"Census Tract 215, San Francisco County, California",ACSSF,140,0,9988,06,075,21500,14000US06075021500,Census Tract 215,,235929
06075021600,"Census Tract 216, San Francisco County, California",ACSSF,140,0,9989,06,075,21600,14000US06075021600,Census Tract 216,,210313
06075021700,"Census Tract 217, San Francisco County, California",ACSSF,140,0,9990,06,075,21700,14000US06075021700,Census Tract 217,,146285
06075021800,"Census Tract 218, San Francisco County, California",ACSSF,140,0,9991,06,075,21800,14000US06075021800,Census Tract 218,,191920
06075022600,"Census Tract 226, San Francisco County, California",ACSSF,140,0,9992,06,075,22600,14000US06075022600,Census Tract 226,,227782
06075022702,"Census Tract 227.02, San Francisco County, California",ACSSF,140,0,9993,06,075,22702,14000US06075022702,Census Tract 227.02,,221061
06075022704,"Census Tract 227.04, San Francisco County, California",ACSSF,140,0,9994,06,075,22704,14000US06075022704,Census Tract 227.04,,247031
06075022801,"Census Tract 228.01, San Francisco County, California",ACSSF,140,0,9995,06,075,22801,14000US06075022801,Census Tract 228.01,,158750
06075022802,"Census Tract 228.02, San Francisco County, California",ACSSF,140,0,9996,06,075,22802,14000US06075022802,Census Tract 228.02,,113958
06075022803,"Census Tract 228.03, San Francisco County, California",ACSSF,140,0,9997,06,075,22803,14000US06075022803,Census Tract 228.03,,151597
06075022901,"Census Tract 229.01, San Francisco County, California",ACSSF,140,0,9998,06,075,22901,14000US06075022901,Census Tract 229.01,,89286
06075022902,"Census Tract 229.02, San Francisco County, California",ACSSF,140,0,9999,06,075,22902,14000US06075022902,Census Tract 229.02,,173750
06075022903,"Census Tract 229.03, San Francisco County, California",ACSSF,140,0,10000,06,075,22903,14000US06075022903,Census Tract 229.03,,148500
06075023001,"Census Tract 230.01, San Francisco County, California",ACSSF,140,0,10001,06,075,23001,14000US06075023001,Census Tract 230.01,,79091
06075023003,"Census Tract 230.03, San Francisco County, California",ACSSF,140,0,10002,06,075,23003,14000US06075023003,Census Tract 230.03,,133458
